Series Description,EURO,US$/POUND,BRAZIL ,CHINA,DENMARK,INDIA,JAPAN,KOREA,MALAYSIA,MEXICO,NORWAY,SWEDEN,SOUTH AFRICA,SINGAPORE,SWITZERLAND,TAIWAN,THAILAND,VENEZUELA ,Nominal Broad Dollar Index ,Nominal Major Currencies Dollar Index ,Nominal Other Important Trading Partners Dollar Index ,US$/AU$,S$/NZ$,CANADA,HONG KONG,SRI LANKA
1/4/1971,,2.3938,,,7.485,,357.73,,3.0867,,7.1359,5.1643,,,4.318,,,,,,,1.1127,1.1138,1.0109,,
1/5/1971,,2.3949,,,7.4872,,357.81,,3.0861,,7.1422,5.1628,,,4.3117,,,,,,,1.1132,1.1143,1.0102,,
1/6/1971,,2.3967,,,7.4839,,357.86,,3.0845,,7.1367,5.1614,,,4.3113,,,,,,,1.114,1.1151,1.0106,,
1/7/1971,,2.3963,,,7.485,,357.87,,3.085,,7.1386,5.1649,,,4.3103,,,,,,,1.1138,1.115,1.0148,,
1/8/1971,,2.3972,,,7.485,,357.82,,3.0845,,7.1382,5.1631,,,4.3109,,,,,,,1.1124,1.1154,1.0154,,
1/11/1971,,2.3992,,,7.485,,357.95,,3.0814,,7.139,5.1642,,,4.3102,,,,,,,1.1152,1.1163,1.0159,,
1/12/1971,,2.4001,,,7.4849,,358.06,,3.0807,,7.1411,5.1643,,,4.3099,,,,,,,1.1156,1.1167,1.013,,
1/13/1971,,2.4021,,,7.4812,,358.44,,3.0782,,7.139,5.1615,,,4.3095,,,,,,,1.1165,1.1177,1.0122,,
1/14/1971,,2.4071,,,7.4844,,358.4,,3.075,,7.1403,5.1625,,,4.3095,,,,,,,1.1189,1.12,1.0133,,
1/15/1971,,2.4057,,,7.4839,,358.4,,3.0764,,7.1414,5.164,,,4.3076,,,,,,,1.1182,1.1193,1.0135,,
1/18/1971,,2.4052,,,7.4836,,358.29,,3.0755,,7.1406,5.1651,,,4.3029,,,,,,,1.1179,1.1191,1.0126,,
1/19/1971,,2.4081,,,7.4836,,358.35,,3.0719,,7.1429,5.1657,,,4.3006,,,,,,,1.1193,1.1205,1.0111,,
1/20/1971,,2.408,,,7.4833,,358.4,,3.0725,,7.1429,5.1636,,,4.301,,,,,,,1.1193,1.1204,1.0115,,
1/21/1971,,2.4092,,,7.4848,,358.27,,3.0716,,7.1443,5.1648,,,4.3017,,,,,,,1.1198,1.121,1.0109,,
1/22/1971,,2.4103,,,7.485,,357.9,,3.0703,,7.1429,5.1626,,,4.2996,,,,,,,1.1204,1.1215,1.0117,,
1/25/1971,,2.4147,,,7.4867,,357.73,,3.0675,,7.1435,5.1626,,,4.3005,,,,,,,1.1224,1.1236,1.0111,,
1/26/1971,,2.416,,,7.4848,,357.78,,3.0665,,7.1443,5.164,,,4.2987,,,,,,,1.123,1.1241,1.0107,,
1/27/1971,,2.4161,,,7.4834,,357.79,,3.0653,,7.1414,5.1635,,,4.2973,,,,,,,1.123,1.1242,1.0101,,
1/28/1971,,2.4169,,,7.4853,,357.83,,3.0653,,7.1431,5.1653,,,4.2978,,,,,,,1.1234,1.1246,1.009,,
1/29/1971,,2.4174,,,7.4868,,357.72,,3.0647,,7.1445,5.1675,,,4.2963,,,,,,,1.1236,1.1248,1.008,,
2/1/1971,,2.4184,,,7.4858,,357.67,,3.0631,,7.1465,5.1778,,,4.2968,,,,,,,1.1241,1.1253,1.0076,,
2/2/1971,,2.4181,,,7.4858,,357.55,,3.065,,7.1465,5.1778,,,4.2969,,,,,,,1.124,1.1251,1.0087,,
2/3/1971,,2.4184,,,7.4844,,357.54,,3.0647,,7.1439,5.1742,,,4.2965,,,,,,,1.1241,1.1253,1.0085,,
2/4/1971,,2.4167,,,7.4854,,357.51,,3.0687,,7.1431,5.1733,,,4.2966,,,,,,,1.1233,1.1245,1.0078,,
2/5/1971,,2.4147,,,7.4875,,357.53,,3.0689,,7.1435,5.1784,,,4.2969,,,,,,,1.1224,1.1235,1.0078,,
2/8/1971,,2.4182,,,7.4874,,357.49,,3.0687,,7.1429,5.1813,,,4.2979,,,,,,,1.124,1.1252,1.0083,,
2/9/1971,,2.4151,,,7.485,,357.5,,3.0691,,7.1397,5.1811,,,4.2969,,,,,,,1.1226,1.1237,1.0083,,
2/10/1971,,2.4159,,,7.4883,,357.5,,3.0665,,7.1412,5.1799,,,4.2972,,,,,,,1.1229,1.1241,1.0086,,
2/11/1971,,2.4158,,,7.4881,,357.5,,3.0665,,7.141,5.1778,,,4.2967,,,,,,,1.1229,1.124,1.0086,,
2/12/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
2/15/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
2/16/1971,,2.4193,,,7.4881,,357.53,,3.0659,,7.1406,5.1752,,,4.2968,,,,,,,1.1245,1.1257,1.0084,,
2/17/1971,,2.4193,,,7.4846,,357.53,,3.065,,7.139,5.1706,,,4.2968,,,,,,,1.1245,1.1257,1.0087,,
2/18/1971,,2.4191,,,7.4848,,357.53,,3.065,,7.1418,5.17,,,4.2967,,,,,,,1.1244,1.1256,1.0076,,
2/19/1971,,2.419,,,7.4864,,357.56,,3.065,,7.1437,5.1692,,,4.2963,,,,,,,1.1244,1.1255,1.0066,,
2/22/1971,,2.4192,,,7.4841,,357.6,,3.065,,7.1434,5.1664,,,4.2958,,,,,,,1.1245,1.1256,1.0043,,
2/23/1971,,2.4193,,,7.4832,,357.55,,3.065,,7.1429,5.161,,,4.2957,,,,,,,1.1245,1.1257,1.0035,,
2/24/1971,,2.4193,,,7.4828,,357.6,,3.065,,7.1418,5.1631,,,4.3015,,,,,,,1.1245,1.1257,1.0075,,
2/25/1971,,2.4177,,,7.4818,,357.56,,3.0656,,7.1414,5.1652,,,4.3073,,,,,,,1.1238,1.1249,1.0066,,
2/26/1971,,2.416,,,7.4834,,357.56,,3.0662,,7.142,5.1652,,,4.307,,,,,,,1.123,1.1241,1.007,,
3/1/1971,,2.4162,,,7.4826,,357.63,,3.0675,,7.1416,5.1631,,,4.3073,,,,,,,1.1231,1.1242,1.0076,,
3/2/1971,,2.4184,,,7.4826,,357.56,,3.0669,,7.1413,5.1638,,,4.3054,,,,,,,1.1241,1.1253,1.0071,,
3/3/1971,,2.4193,,,7.4794,,357.49,,3.0659,,7.1376,5.1622,,,4.3039,,,,,,,1.1245,1.1257,1.0073,,
3/4/1971,,2.4179,,,7.4818,,357.45,,3.0662,,7.1389,5.1631,,,4.3068,,,,,,,1.1239,1.125,1.0064,,
3/5/1971,,2.4183,,,7.4834,,357.59,,3.0662,,7.1382,5.1631,,,4.3066,,,,,,,1.1241,1.1252,1.0047,,
3/8/1971,,2.4192,,,7.4825,,357.55,,3.0647,,7.1365,5.1635,,,4.302,,,,,,,1.1245,1.1256,1.003,,
3/9/1971,,2.4188,,,7.4816,,357.46,,3.0653,,7.1352,5.1644,,,4.3011,,,,,,,1.1244,1.1256,1.004,,
3/10/1971,,2.4192,,,7.4794,,357.59,,3.0653,,7.1352,5.1625,,,4.304,,,,,,,1.1245,1.1256,1.0036,,
3/11/1971,,2.4188,,,7.4807,,357.56,,3.0662,,7.1367,5.1636,,,4.3012,,,,,,,1.1243,1.1254,1.0049,,
3/12/1971,,2.4193,,,7.4794,,357.58,,3.0653,,7.1363,5.1626,,,4.301,,,,,,,1.1245,1.1257,1.0056,,
3/15/1971,,2.4193,,,7.4791,,357.54,,3.0653,,7.138,5.1626,,,4.3004,,,,,,,1.1245,1.1257,1.0059,,
3/16/1971,,2.4183,,,7.4791,,357.49,,3.0662,,7.138,5.1623,,,4.3002,,,,,,,1.1241,1.1252,1.0052,,
3/17/1971,,2.4194,,,7.4783,,357.53,,3.0653,,7.139,5.1613,,,4.2995,,,,,,,1.1246,1.1257,1.0056,,
3/18/1971,,2.419,,,7.4818,,357.56,,3.0656,,7.139,5.1625,,,4.2983,,,,,,,1.1244,1.1255,1.0065,,
3/19/1971,,2.419,,,7.4831,,357.56,,3.0656,,7.1387,5.1621,,,4.2972,,,,,,,1.1244,1.1255,1.0077,,
3/22/1971,,2.4193,,,7.4818,,357.44,,3.0653,,7.1412,5.1617,,,4.2971,,,,,,,1.1245,1.1257,1.0079,,
3/23/1971,,2.4193,,,7.4808,,357.53,,3.0655,,7.1414,5.162,,,4.2972,,,,,,,1.1245,1.1257,1.0078,,
3/24/1971,,2.4194,,,7.4783,,357.53,,3.0655,,7.139,5.1613,,,4.2968,,,,,,,1.1246,1.1257,1.0076,,
3/25/1971,,2.4185,,,7.4802,,357.47,,3.0662,,7.1388,5.1626,,,4.2969,,,,,,,1.1241,1.1253,1.007,,
3/26/1971,,2.4188,,,7.4827,,357.47,,3.0662,,7.1365,5.1637,,,4.2959,,,,,,,1.1243,1.1254,1.0074,,
3/29/1971,,2.4194,,,7.4835,,357.44,,3.0659,,7.1348,5.1648,,,4.2966,,,,,,,1.1246,1.1257,1.0075,,
3/30/1971,,2.4181,,,7.4792,,357.49,,3.0669,,7.1327,5.1631,,,4.2958,,,,,,,1.124,1.1251,1.0082,,
3/31/1971,,2.4168,,,7.4764,,357.42,,3.0678,,7.1314,5.1624,,,4.2954,,,,,,,1.1234,1.1245,1.0081,,
4/1/1971,,2.4147,,,7.4805,,357.49,,3.0694,,7.1325,5.1645,,,4.2955,,,,,,,1.1224,1.1235,1.0076,,
4/2/1971,,2.4125,,,7.4833,,357.53,,3.0703,,7.1329,5.1644,,,4.2947,,,,,,,1.1213,1.1225,1.0073,,
4/5/1971,,2.4161,,,7.4846,,357.5,,3.0703,,7.1329,5.1646,,,4.2971,,,,,,,1.123,1.1242,1.0071,,
4/6/1971,,2.4189,,,7.4878,,357.46,,3.0675,,7.1291,5.1628,,,4.2974,,,,,,,1.1243,1.1255,1.0062,,
4/7/1971,,2.417,,,7.4859,,357.55,,3.0687,,7.1289,5.1637,,,4.296,,,,,,,1.1234,1.1246,1.0069,,
4/8/1971,,2.4167,,,7.4861,,357.55,,3.0691,,7.1284,5.1653,,,4.2937,,,,,,,1.1233,1.1245,1.0071,,
4/9/1971,,2.4167,,,7.4855,,357.5,,3.0691,,7.1278,5.165,,,4.2951,,,,,,,1.1233,1.1245,1.0068,,
4/12/1971,,2.4169,,,7.4864,,357.5,,3.0687,,7.1289,5.1646,,,4.2969,,,,,,,1.1234,1.1246,1.0069,,
4/13/1971,,2.4167,,,7.4891,,357.62,,3.0691,,7.1304,5.1653,,,4.3019,,,,,,,1.1233,1.1245,1.0076,,
4/14/1971,,2.418,,,7.4864,,357.58,,3.0684,,7.1286,5.1644,,,4.3024,,,,,,,1.1239,1.125,1.0081,,
4/15/1971,,2.4187,,,7.4878,,357.5,,3.0659,,7.1276,5.1633,,,4.2992,,,,,,,1.1242,1.1254,1.0075,,
4/16/1971,,2.4186,,,7.4903,,357.54,,3.0659,,7.1273,5.1615,,,4.3019,,,,,,,1.1242,1.1253,1.0068,,
4/19/1971,,2.4193,,,7.4892,,357.49,,3.0653,,7.1259,5.1619,,,4.3052,,,,,,,1.1245,1.1256,1.0073,,
4/20/1971,,2.4193,,,7.4881,,357.49,,3.0653,,7.1253,5.1623,,,4.3039,,,,,,,1.1245,1.1257,1.0075,,
4/21/1971,,2.4196,,,7.4854,,357.49,,3.0653,,7.1236,5.1611,,,4.3008,,,,,,,1.1246,1.1258,1.0073,,
4/22/1971,,2.4187,,,7.4905,,357.49,,3.0656,,7.1268,5.162,,,4.2995,,,,,,,1.1242,1.1254,1.0076,,
4/23/1971,,2.4189,,,7.4909,,357.49,,3.0656,,7.1289,5.1612,,,4.3025,,,,,,,1.1243,1.1255,1.0085,,
4/26/1971,,2.4188,,,7.4937,,357.5,,3.0656,,7.1289,5.1624,,,4.3008,,,,,,,1.1243,1.1254,1.0092,,
4/27/1971,,2.419,,,7.4937,,357.49,,3.0653,,7.1301,5.1615,,,4.299,,,,,,,1.1244,1.1255,1.0095,,
4/28/1971,,2.4195,,,7.4948,,357.5,,3.0653,,7.1263,5.1615,,,4.2957,,,,,,,1.1246,1.1258,1.0089,,
4/29/1971,,2.4192,,,7.496,,357.41,,3.0653,,7.1291,5.1616,,,4.2957,,,,,,,1.1245,1.1256,1.0086,,
4/30/1971,,2.4193,,,7.496,,357.4,,3.0653,,7.1312,5.1614,,,4.2959,,,,,,,1.1245,1.1257,1.0091,,
5/3/1971,,2.4189,,,7.4982,,357.41,,3.0653,,7.1309,5.162,,,4.2955,,,,,,,1.1243,1.1255,1.0089,,
5/4/1971,,2.4185,,,7.4989,,357.4,,3.0656,,7.1308,5.1613,,,4.2952,,,,,,,1.1242,1.1253,1.009,,
5/5/1971,,2.4194,,,7.4963,,357.4,,3.0656,,7.1279,5.1673,,,4.1841,,,,,,,1.1246,1.1257,1.0074,,
5/6/1971,,2.4185,,,7.5042,,357.41,,3.067,,7.124,5.1724,,,4.1667,,,,,,,1.1242,1.1253,1.0074,,
5/7/1971,,2.4188,,,7.5019,,357.41,,3.064,,7.1247,5.1726,,,4.1374,,,,,,,1.1243,1.1255,1.0069,,
5/10/1971,,2.4173,,,7.5052,,357.14,,3.0669,,7.1103,5.1683,,,4.1076,,,,,,,1.1236,1.1248,1.0084,,
5/11/1971,,2.417,,,7.5067,,357.44,,3.0672,,7.1138,5.1731,,,4.1164,,,,,,,1.1235,1.1246,1.0084,,
5/12/1971,,2.4183,,,7.5058,,357.53,,3.0659,,7.1162,5.1714,,,4.1095,,,,,,,1.124,1.1252,1.0083,,
5/13/1971,,2.4183,,,7.5033,,357.49,,3.0675,,7.1133,5.1655,,,4.095,,,,,,,1.124,1.1252,1.0089,,
5/14/1971,,2.4186,,,7.5019,,357.49,,3.0665,,7.1111,5.1664,,,4.095,,,,,,,1.1242,1.1253,1.0089,,
5/17/1971,,2.4193,,,7.5019,,357.4,,3.0615,,7.1116,5.1634,,,4.0914,,,,,,,1.1245,1.1256,1.0089,,
5/18/1971,,2.419,,,7.4998,,357.44,,3.0615,,7.108,5.1622,,,4.0872,,,,,,,1.1244,1.1255,1.0089,,
5/19/1971,,2.4194,,,7.4993,,357.4,,3.0615,,7.1076,5.1645,,,4.0866,,,,,,,1.1246,1.1257,1.0095,,
5/20/1971,,2.4193,,,7.4996,,357.46,,3.0606,,7.1086,5.1649,,,4.0869,,,,,,,1.1245,1.1256,1.0093,,
5/21/1971,,2.4194,,,7.4989,,357.4,,3.0597,,7.1086,5.1645,,,4.0733,,,,,,,1.1246,1.1257,1.0092,,
5/24/1971,,2.4194,,,7.4963,,357.4,,3.0609,,7.1066,5.163,,,4.0771,,,,,,,1.1246,1.1257,1.009,,
5/25/1971,,2.419,,,7.4956,,357.4,,3.0618,,7.1086,5.1644,,,4.0868,,,,,,,1.1244,1.1255,1.0091,,
5/26/1971,,2.4194,,,7.4934,,357.44,,3.0609,,7.1083,5.1632,,,4.0882,,,,,,,1.1246,1.1257,1.0086,,
5/27/1971,,2.4187,,,7.4942,,357.4,,3.0609,,7.1084,5.1653,,,4.0984,,,,,,,1.1243,1.1254,1.0093,,
5/28/1971,,2.4178,,,7.4946,,357.4,,3.06,,7.1115,5.1648,,,4.1058,,,,,,,1.1238,1.125,1.0101,,
5/31/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
6/1/1971,,2.4162,,,7.4963,,357.46,,3.0609,,7.1136,5.1661,,,4.1059,,,,,,,1.1231,1.1243,1.0126,,
6/2/1971,,2.417,,,7.4986,,357.4,,3.0609,,7.1132,5.1675,,,4.0995,,,,,,,1.1234,1.1246,1.0134,,
6/3/1971,,2.4188,,,7.4984,,357.46,,3.0572,,7.1136,5.165,,,4.0898,,,,,,,1.1243,1.1254,1.0185,,
6/4/1971,,2.419,,,7.4956,,357.4,,3.0586,,7.1143,5.1645,,,4.094,,,,,,,1.1244,1.1255,1.0174,,
6/7/1971,,2.4192,,,7.4934,,357.4,,3.0572,,7.1126,5.1639,,,4.0879,,,,,,,1.1245,1.1256,1.0161,,
6/8/1971,,2.4188,,,7.4934,,357.4,,3.0548,,7.113,5.164,,,4.0896,,,,,,,1.1243,1.1254,1.0179,,
6/9/1971,,2.4194,,,7.4946,,357.4,,3.0544,,7.1111,5.1626,,,4.0909,,,,,,,1.1246,1.1257,1.0186,,
6/10/1971,,2.4193,,,7.4963,,357.4,,3.0562,,7.1111,5.1632,,,4.0851,,,,,,,1.1245,1.1256,1.0239,,
6/11/1971,,2.4194,,,7.4963,,357.4,,3.0544,,7.1111,5.162,,,4.0885,,,,,,,1.1246,1.1257,1.0239,,
6/14/1971,,2.4186,,,7.4934,,357.4,,3.053,,7.1114,5.1628,,,4.0901,,,,,,,1.1242,1.1254,1.0232,,
6/15/1971,,2.4187,,,7.4945,,357.46,,3.0553,,7.1136,5.1651,,,4.0948,,,,,,,1.1242,1.1254,1.0248,,
6/16/1971,,2.4193,,,7.4929,,357.46,,3.0562,,7.1124,5.1643,,,4.0907,,,,,,,1.1245,1.1256,1.0244,,
6/17/1971,,2.4189,,,7.491,,357.46,,3.0548,,7.1128,5.1626,,,4.094,,,,,,,1.1243,1.1255,1.0242,,
6/18/1971,,2.4191,,,7.4918,,357.4,,3.0544,,7.1134,5.1625,,,4.0931,,,,,,,1.1244,1.1256,1.0225,,
6/21/1971,,2.4191,,,7.4925,,357.4,,3.0553,,7.1114,5.1621,,,4.0929,,,,,,,1.1244,1.1256,1.0242,,
6/22/1971,,2.419,,,7.4928,,357.4,,3.0548,,7.1115,5.1614,,,4.0961,,,,,,,1.1244,1.1255,1.0243,,
6/23/1971,,2.4195,,,7.4945,,357.4,,3.0581,,7.1088,5.1586,,,4.0943,,,,,,,1.1246,1.1258,1.0234,,
6/24/1971,,2.4191,,,7.4954,,357.4,,3.0604,,7.1092,5.1593,,,4.094,,,,,,,1.1244,1.1256,1.0242,,
6/25/1971,,2.4191,,,7.4951,,357.4,,3.0558,,7.1084,5.1585,,,4.0944,,,,,,,1.1244,1.1256,1.0233,,
6/28/1971,,2.4185,,,7.4963,,357.37,,3.0558,,7.1071,5.1613,,,4.0981,,,,,,,1.1242,1.1253,1.0221,,
6/29/1971,,2.419,,,7.4977,,357.39,,3.0548,,7.1066,5.1591,,,4.1017,,,,,,,1.1244,1.1255,1.023,,
6/30/1971,,2.4196,,,7.496,,357.4,,3.0548,,7.1048,5.1588,,,4.0989,,,,,,,1.1246,1.1258,1.0235,,
7/1/1971,,2.419,,,7.496,,357.4,,3.0548,,7.1065,5.16,,,4.0966,,,,,,,1.1243,1.1255,1.0232,,
7/2/1971,,2.419,,,7.4959,,357.4,,3.0548,,7.1066,5.1616,,,4.0989,,,,,,,1.1243,1.1255,1.0226,,
7/5/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
7/6/1971,,2.4181,,,7.501,,357.45,,3.0553,,7.1086,5.1638,,,4.1037,,,,,,,1.124,1.1251,1.023,,
7/7/1971,,2.4187,,,7.5001,,357.46,,3.0553,,7.1061,5.1634,,,4.1049,,,,,,,1.1242,1.1254,1.0233,,
7/8/1971,,2.4185,,,7.501,,357.46,,3.0553,,7.1063,5.1652,,,4.105,,,,,,,1.1242,1.1259,1.023,,
7/9/1971,,2.4183,,,7.501,,357.4,,3.0553,,7.1061,5.1661,,,4.1061,,,,,,,1.1241,1.1252,1.023,,
7/12/1971,,2.4182,,,7.501,,357.41,,3.0553,,7.1061,5.168,,,4.106,,,,,,,1.124,1.1252,1.0231,,
7/13/1971,,2.418,,,7.4998,,357.44,,3.0553,,7.1048,5.1682,,,4.1038,,,,,,,1.1239,1.1251,1.0231,,
7/14/1971,,2.4187,,,7.5005,,357.4,,3.0553,,7.1023,5.1643,,,4.098,,,,,,,1.1242,1.1254,1.023,,
7/15/1971,,2.4187,,,7.5016,,357.4,,3.0553,,7.1021,5.1605,,,4.0939,,,,,,,1.1242,1.1254,1.0227,,
7/16/1971,,2.4189,,,7.5002,,357.4,,3.0553,,7.1035,5.1621,,,4.0934,,,,,,,1.1243,1.1255,1.0228,,
7/19/1971,,2.4183,,,7.4991,,357.39,,3.0553,,7.1034,5.1634,,,4.0915,,,,,,,1.124,1.1252,1.0222,,
7/20/1971,,2.4182,,,7.4987,,357.39,,3.0531,,7.1048,5.1614,,,4.0909,,,,,,,1.124,1.1251,1.0203,,
7/21/1971,,2.4191,,,7.497,,357.4,,3.0528,,7.1035,5.1594,,,4.0886,,,,,,,1.1244,1.1255,1.02,,
7/22/1971,,2.4188,,,7.4974,,357.37,,3.0548,,7.104,5.16,,,4.0866,,,,,,,1.1243,1.1254,1.0175,,
7/23/1971,,2.419,,,7.4974,,357.36,,3.0548,,7.1061,5.1597,,,4.0866,,,,,,,1.1243,1.1255,1.0151,,
7/26/1971,,2.418,,,7.4988,,357.4,,3.0553,,7.1086,5.1609,,,4.0862,,,,,,,1.1239,1.125,1.0176,,
7/27/1971,,2.4178,,,7.5005,,357.37,,3.0553,,7.1105,5.1607,,,4.0862,,,,,,,1.1238,1.125,1.0205,,
7/28/1971,,2.4185,,,7.4993,,357.4,,3.0553,,7.1084,5.1596,,,4.0854,,,,,,,1.1241,1.1253,1.0221,,
7/29/1971,,2.4184,,,7.5007,,357.4,,3.0558,,7.108,5.1599,,,4.0871,,,,,,,1.1241,1.1253,1.0207,,
7/30/1971,,2.4184,,,7.4993,,357.39,,3.0553,,7.1066,5.1591,,,4.0862,,,,,,,1.1241,1.1252,1.0188,,
8/2/1971,,2.4175,,,7.5007,,357.41,,3.0562,,7.1068,5.16,,,4.0878,,,,,,,1.1237,1.1248,1.0193,,
8/3/1971,,2.417,,,7.5018,,357.37,,3.0567,,7.1076,5.1615,,,4.0887,,,,,,,1.1235,1.1246,1.0195,,
8/4/1971,,2.4193,,,7.5015,,357.37,,3.0558,,7.1059,5.1593,,,4.0607,,,,,,,1.1245,1.1256,1.0185,,
8/5/1971,,2.4183,,,7.5016,,357.37,,3.0562,,7.1035,5.1596,,,4.0616,,,,,,,1.124,1.1242,1.0168,,
8/6/1971,,2.4185,,,7.5005,,357.37,,3.0558,,7.1035,5.1597,,,4.0699,,,,,,,1.1241,1.1253,1.0186,,
8/9/1971,,2.4192,,,7.4996,,357.35,,3.0531,,7.1017,5.1598,,,4.0532,,,,,,,1.1245,1.1256,1.0063,,
8/10/1971,,2.4187,,,7.4963,,357.39,,3.0534,,7.0972,5.1624,,,4.0582,,,,,,,1.1242,1.1254,1.0128,,
8/11/1971,,2.4197,,,7.4956,,357.35,,3.0531,,7.095,5.1614,,,4.06,,,,,,,1.1247,1.1258,1.0143,,
8/12/1971,,2.4196,,,7.4948,,357.4,,3.0531,,7.0947,5.163,,,4.0527,,,,,,,1.1246,1.1258,1.0132,,
8/13/1971,,2.4195,,,7.4906,,357.35,,3.0531,,7.0937,5.1593,,,4.0633,,,,,,,1.1246,1.1257,1.0119,,
8/16/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,1.0098,,
8/17/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,1.0067,,
8/18/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,1.0087,,
8/19/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,1.0112,,
8/20/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,1.0113,,
8/23/1971,,2.435,,,7.4001,,ND,,ND,,6.9727,5.1053,,,3.9932,,,,,,,1.1318,1.133,1.0128,,
8/24/1971,,2.4447,,,7.3874,,ND,,ND,,6.9234,5.0889,,,3.9761,,,,,,,1.1363,1.1375,1.0143,,
8/25/1971,,2.4589,,,7.3874,,ND,,ND,,6.8999,5.0855,,,3.9748,,,,,,,1.1428,1.144,1.0121,,
8/26/1971,,2.4723,,,7.3638,,ND,,ND,,6.8776,5.0787,,,3.9651,,,,,,,1.1492,1.1504,1.0106,,
8/27/1971,,2.4693,,,7.348,,ND,,ND,,6.8861,5.0671,,,3.9732,,,,,,,1.1478,1.1489,1.01,,
8/30/1971,,2.4677,,,7.3283,,ND,,ND,,6.8884,5.0633,,,3.9878,,,,,,,1.1471,1.1485,1.0135,,
8/31/1971,,2.4535,,,7.3505,,339.85,,ND,,6.9143,5.0793,,,3.9936,,,,,,,1.1406,1.1417,1.0142,,
9/1/1971,,2.4541,,,7.3658,,341.01,,ND,,6.9216,5.0933,,,4.0024,,,,,,,1.1409,1.142,1.0162,,
9/2/1971,,2.4576,,,7.3514,,338.98,,ND,,6.921,5.0879,,,3.9992,,,,,,,1.1423,1.1434,1.0143,,
9/3/1971,,2.459,,,7.3379,,340.14,,3.0084,,6.9144,5.0807,,,3.979,,,,,,,1.1432,1.1445,1.0146,,
9/6/1971,,ND,,,ND,,ND,,ND,,ND,ND,,,ND,,,,,,,ND,ND,ND,,
9/7/1971,,2.4583,,,7.3363,,339.79,,3.0084,,6.938,5.0839,,,3.9999,,,,,,,1.1427,1.1438,1.0162,,
9/8/1971,,2.4584,,,7.3312,,339.39,,3.0026,,6.9292,5.0913,,,3.9963,,,,,,,1.1427,1.1439,1.0161,,
9/9/1971,,2.4587,,,7.3346,,339.07,,3.0071,,6.9292,5.0913,,,3.9948,,,,,,,1.1428,1.144,1.0157,,
9/10/1971,,2.4592,,,7.3314,,338.81,,3.0026,,6.9264,5.0897,,,3.9933,,,,,,,1.1431,1.1443,1.0159,,
9/13/1971,,2.4602,,,7.3312,,338.98,,3.003,,6.923,5.0845,,,3.9984,,,,,,,1.1435,1.1447,1.0161,,
9/14/1971,,2.467,,,7.3277,,338.24,,3.0075,,6.9204,5.0798,,,3.9897,,,,,,,1.1465,1.1476,1.0153,,
9/15/1971,,2.4709,,,7.3176,,338.41,,3.0303,,6.9125,5.0747,,,3.9853,,,,,,,1.1485,1.1497,1.0141,,
9/16/1971,,2.471,,,7.3126,,337.84,,3.0157,,6.9091,5.0736,,,3.986,,,,,,,1.1485,1.1497,1.0142,,
9/17/1971,,2.472,,,7.304,,337.95,,2.9976,,6.8975,5.0715,,,3.9864,,,,,,,1.149,1.1501,1.0136,,
9/20/1971,,2.4743,,,7.3031,,337.27,,2.9963,,6.8764,5.0656,,,3.9714,,,,,,,1.15,1.1511,1.012,,
9/21/1971,,2.4733,,,7.2822,,337.34,,2.9918,,6.8766,5.0581,,,3.9751,,,,,,,1.1496,1.1508,1.0122,,
9/22/1971,,2.474,,,7.3053,,337.44,,2.9963,,6.8806,5.0599,,,3.9714,,,,,,,1.15,1.1511,1.0119,,
9/23/1971,,2.4805,,,7.304,,337.27,,2.9882,,6.8816,5.058,,,3.9563,,,,,,,1.153,1.1541,1.0092,,
9/24/1971,,2.4825,,,7.2611,,336.98,,2.9869,,6.8501,5.0314,,,3.9698,,,,,,,1.1539,1.1551,1.0066,,
9/27/1971,,2.4803,,,7.2935,,336.25,,2.9757,,6.8579,5.047,,,3.9689,,,,,,,1.153,1.1541,1.0098,,
9/28/1971,,2.4782,,,7.2937,,336.36,,2.9744,,6.8819,5.0452,,,3.9681,,,,,,,1.1518,1.153,1.0099,,
9/29/1971,,2.4838,,,7.2905,,335.57,,2.9972,,6.8697,5.0355,,,3.9594,,,,,,,1.1545,1.1557,1.0098,,
9/30/1971,,2.4847,,,7.28,,335.35,,2.9766,,6.8672,5.0273,,,3.9541,,,,,,,1.1549,1.156,1.0093,,
10/1/1971,,2.4892,,,7.2743,,333.39,,2.974,,6.8611,5.0176,,,3.9588,,,,,,,1.157,1.1582,1.0091,,
10/4/1971,,2.4889,,,7.2671,,333.17,,2.9806,,6.8521,5.0163,,,3.9599,,,,,,,1.1569,1.158,1.0082,,
